,S.NO.,Bowler,Overs,Maidens,Runs,Wickets,ECON,0s,4s,6s,WD,NB,Country
274,7,Ryan Burl,1,0,7,0,7.00,0,0,0,0,0,Zimbabwe
275,1,Maheesh Theekshana,4,0,35,1,8.75,7,2,2,1,0,Sri Lanka
276,2,Kasun Rajitha,4,0,23,2,5.75,16,3,0,1,2,Sri Lanka
277,3,Dhananjaya de Silva,2,0,14,1,7.00,4,1,0,0,0,Sri Lanka
278,4,Wanindu Hasaranga de Silva,4,0,22,1,5.50,9,1,0,0,0,Sri Lanka
279,5,Lahiru Kumara,3,0,37,1,12.33,2,2,2,2,1,Sri Lanka
280,6,Chamika Karunaratne,3,0,34,0,11.33,5,3,1,1,0,Sri Lanka
281,1,Tim Southee,4,1,12,1,3.00,18,0,1,1,0,New Zealand
282,2,Trent Boult,4,0,13,4,3.25,18,1,0,1,0,New Zealand
283,3,Lockie Ferguson,4,0,35,1,8.75,11,4,1,3,0,New Zealand
284,4,Mitchell Santner,4,0,21,2,5.25,13,3,0,0,0,New Zealand
285,5,Ish Sodhi,3.2,0,21,2,6.30,11,2,1,1,0,New Zealand
286,1,Richard Ngarava,4,0,24,2,6.00,11,2,0,2,0,Zimbabwe
287,2,Blessing Muzarabani,2,0,13,2,6.50,8,3,0,0,0,Zimbabwe
288,3,Tendai Chatara,3,0,18,0,6.00,7,1,0,0,0,Zimbabwe
289,4,Sikandar Raza,4,0,35,1,8.75,2,2,1,0,0,Zimbabwe
290,5,Brad Evans,3,0,32,0,10.66,2,3,1,1,0,Zimbabwe
291,6,Wessly Madhevere,2,0,18,0,9.00,0,1,0,0,0,Zimbabwe
292,7,Sean Williams,2,0,10,1,5.00,4,0,0,1,0,Zimbabwe
293,1,Taskin Ahmed,4,1,19,3,4.75,15,3,0,0,0,Bangladesh
294,2,Hasan Mahmud,4,0,36,0,9.00,8,5,0,3,0,Bangladesh
295,3,Mosaddek Hossain,4,0,34,2,8.50,11,3,2,0,1,Bangladesh
