,batting_position,Batter,Dismissal,Runs,Balls,Minutes,4s,6s,SR,Country
589,5,Mohammad Nabi(c),c Warner b Hazlewood,1,2,10,0,0,50.00,Afghanistan
590,6,Najibullah Zadran,c Maxwell b Zampa,0,2,3,0,0,0.00,Afghanistan
591,7,Darwish Rasooli,run out ((WK)Wade/Stoinis),15,13,28,1,0,115.38,Afghanistan
592,8,Rashid Khan,not out ,48,23,27,3,4,208.69,Afghanistan
593,9,Naveen-ul-Haq,not out ,0,0,4,0,0,-,Afghanistan
594,1,Pathum Nissanka,c sub (CJ Jordan) b Rashid,67,45,70,2,5,148.88,Sri Lanka
595,2,Kusal Mendis(WK),c Livingstone b Woakes,18,14,21,1,1,128.57,Sri Lanka
596,3,Dhananjaya de Silva,c Stokes b Curran,9,11,17,0,0,81.81,Sri Lanka
597,4,Charith Asalanka,c Malan b Stokes,8,9,15,0,0,88.88,Sri Lanka
598,5,Bhanuka Rajapaksa,c Curran b Wood,22,22,41,3,0,100.00,Sri Lanka
599,6,Dasun Shanaka(c),c (WK)Buttler b Wood,3,8,12,0,0,37.50,Sri Lanka
600,7,Wanindu Hasaranga de Silva,run out ((WK)Buttler/Wood),9,9,13,1,0,100.00,Sri Lanka
601,8,Chamika Karunaratne,c Hales b Wood,0,2,3,0,0,0.00,Sri Lanka
602,9,Maheesh Theekshana,not out ,0,0,2,0,0,-,Sri Lanka
603,1,Jos Buttler(c)(WK),c Karunaratne b PWH de Silva,28,23,35,2,1,121.73,England
604,2,Alex Hales,c & b PWH de Silva,47,30,42,7,1,156.66,England
605,3,Ben Stokes,not out ,42,36,59,2,0,116.66,England
606,4,Harry Brook,c & b DM de Silva,4,5,9,0,0,80.00,England
607,5,Liam Livingstone,c DM de Silva b Kumara,4,6,10,0,0,66.66,England
608,6,Moeen Ali,c Shanaka b DM de Silva,1,5,8,0,0,20.00,England
609,7,Sam Curran,c Rajitha b Kumara,6,11,16,0,0,54.54,England
610,8,Chris Woakes,not out ,5,3,11,1,0,166.66,England
611,1,Stephan Myburgh,c Rossouw b Markram,37,30,41,7,0,123.33,Netherlands
612,2,Max O'Dowd,c Rabada b Maharaj,29,31,61,1,1,93.54,Netherlands
613,3,Tom Cooper,c (WK)de Kock b Maharaj,35,19,30,2,2,184.21,Netherlands
614,4,Colin Ackermann,not out ,41,26,31,3,2,157.69,Netherlands
615,5,Bas de Leede, b Nortje,1,7,11,0,0,14.28,Netherlands
616,6,Scott Edwards(c)(WK),not out ,12,7,11,2,0,171.42,Netherlands
617,1,Quinton de Kock(WK),c (WK)Edwards b Klaassen,13,13,12,1,1,100.00,South Africa
618,2,Temba Bavuma(c), b van Meekeren,20,20,26,2,0,100.00,South Africa
619,3,Rilee Rossouw,c O'Dowd b Glover,25,19,29,2,0,131.57,South Africa
620,4,Aiden Markram,c Myburgh b Klaassen,17,13,30,2,0,130.76,South Africa
621,5,David Miller,c van der Merwe b Glover,17,17,28,1,0,100.00,South Africa
622,6,Heinrich Klaasen,c van Beek b de Leede,21,18,27,0,1,116.66,South Africa
623,7,Wayne Parnell,c (WK)Edwards b Glover,0,2,3,0,0,0.00,South Africa
624,8,Keshav Maharaj,c O'Dowd b de Leede,13,12,20,0,1,108.33,South Africa
625,9,Kagiso Rabada,not out ,9,8,13,0,0,112.50,South Africa
626,10,Anrich Nortje,not out ,4,1,2,1,0,400.00,South Africa
627,1,Najmul Hossain Shanto, b Iftikhar Ahmed,54,48,66,7,0,112.50,Bangladesh
628,2,Litton Das,c Shan Masood b Shaheen Shah Afridi,10,8,15,0,1,125.00,Bangladesh
629,3,Soumya Sarkar,c Shan Masood b Shadab Khan,20,17,38,1,1,117.64,Bangladesh
630,4,Shakib Al Hasan(c),lbw b Shadab Khan,0,1,4,0,0,0.00,Bangladesh
631,5,Afif Hossain,not out ,24,20,47,3,0,120.00,Bangladesh
632,6,Mosaddek Hossain, b Shaheen Shah Afridi,5,11,17,0,0,45.45,Bangladesh
633,7,Nurul Hasan(WK),c Mohammad Haris b Shaheen Shah Afridi,0,3,4,0,0,0.00,Bangladesh
634,8,Taskin Ahmed,c Babar Azam b Shaheen Shah Afridi,1,5,8,0,0,20.00,Bangladesh
635,9,Nasum Ahmed,c Mohammad Wasim b Haris Rauf,7,6,9,1,0,116.66,Bangladesh
636,10,Mustafizur Rahman,not out ,0,1,1,0,0,0.00,Bangladesh
637,1,Mohammad Rizwan(WK),c Najmul Hossain Shanto b Ebadot Hossain,32,32,51,2,1,100.00,Pakistan
638,2,Babar Azam(c),c Mustafizur Rahman b Nasum Ahmed,25,33,46,2,0,75.75,Pakistan
639,3,Mohammad Nawaz,run out (Litton Das),4,11,27,0,0,36.36,Pakistan
640,4,Mohammad Haris,c Nasum Ahmed b Shakib Al Hasan,31,18,31,1,2,172.22,Pakistan
641,5,Shan Masood,not out ,24,14,20,2,0,171.42,Pakistan
642,6,Iftikhar Ahmed,c Najmul Hossain Shanto b Mustafizur Rahman,1,3,8,0,0,33.33,Pakistan
643,7,Shadab Khan,not out ,0,0,2,0,0,-,Pakistan
644,1,KL Rahul,c Masakadza b Sikandar Raza,51,35,59,3,3,145.71,India
645,2,Rohit Sharma(c),c Masakadza b Muzarabani,15,13,20,2,0,115.38,India
646,3,Virat Kohli,c Burl b Williams,26,25,36,2,0,104.00,India
647,4,Suryakumar Yadav,not out ,61,25,44,6,4,244.00,India
648,5,Rishabh Pant(WK),c Burl b Williams,3,5,7,0,0,60.00,India
649,6,Hardik Pandya,c Muzarabani b Ngarava,18,18,29,2,0,100.00,India
650,7,Axar Patel,not out ,0,0,6,0,0,-,India
651,1,Wessly Madhevere,c Kohli b Kumar,0,1,1,0,0,0.00,Zimbabwe
652,2,Craig Ervine(c),c & b Pandya,13,15,37,2,0,86.66,Zimbabwe
653,3,Regis Chakabva(WK), b Arshdeep Singh,0,6,9,0,0,0.00,Zimbabwe
654,4,Sean Williams,c Kumar b Mohammed Shami,11,18,22,0,1,61.11,Zimbabwe
655,5,Sikandar Raza,c Yadav b Pandya,34,24,53,3,0,141.66,Zimbabwe
656,6,Tony Munyonga,lbw b Mohammed Shami,5,4,6,1,0,125.00,Zimbabwe
657,7,Ryan Burl, b Ashwin,35,22,27,5,1,159.09,Zimbabwe
658,8,Wellington Masakadza,c Sharma b Ashwin,1,7,8,0,0,14.28,Zimbabwe
659,9,Richard Ngarava, b Ashwin,1,2,4,0,0,50.00,Zimbabwe
660,10,Tendai Chatara,c & b Patel,4,4,11,1,0,100.00,Zimbabwe
661,11,Blessing Muzarabani,not out ,0,2,5,0,0,0.00,Zimbabwe
662,1,Finn Allen,lbw b Shaheen Shah Afridi,4,3,6,1,0,133.33,New Zealand
663,2,Devon Conway(WK),run out (Shadab Khan),21,20,35,3,0,105.00,New Zealand
